"상보","027580","1,395","-6.26","2.21","1.33","2019"
"상신이디피","091580","14,150","37.34","2.89","1.27","2019"
"서린바이오","038070","13,950","12.54","1.82","2.05","2019"
"서울바이오시스","092190","22,900","552.1","4.42","2.36","2019"
"서호전기","065710","25,300","8.52","1.74","2.01","2019"
"성우하이텍","015750","3,055","8.28","0.19","0.07","2019"
"세경하이테크","148150","26,400","14.57","2.21","1.09","2019"
"세명전기","017510","3,920","17.58","0.84","3.23","2019"
"셀바스AI","108860","2,950","-7.57","1.49","1.84","2019"
"손오공","066910","1,830","-25.91","2.02","0.67","2019"
"솔루에타","154040","3,060","-11.68","0.56","0.15","2019"
"수성","084180","1,385","-3.51","1.12","0.8","2019"
"슈프리마","236200","32,600","9.05","1.72","3.25","2019"
"신라에스지","025870","8,720","49.83","2.21","0.39","2019"
"신영스팩5호","323280","2,035","-71.33","1.03","NAN","2019"
"신테카바이오","226330","29,850","-17.07","8.52","785.35","2019"
"신한제6호스팩","333050","2,000","-100.2","1.1","NAN","2019"
"싸이토젠","217330","28,000","-38.48","8.81","197.19","2019"
"아가방컴퍼니","013990","2,875","-5.98","0.7","0.7","2019"
"아래스","050320","1,010","-8.17","5.32","228.89","2019"
"아모텍","052710","34,450","839.12","1.69","1.35","2019"
"아미코젠","092040","39,500","-3793.38","4.79","6.59","2019"
"아이에이","038880","465","93.55","1.88","1.66","2019"
"아이에이네트웍스","123010","1,890","-8.36","8.47","12.07","2019"
"아이오케이","078860","1,950","-11.78","0.89","2.03","2019"
"아이톡시","052770","4,460","-11.21","6.25","8.56","2019"
"액트로","290740","13,350","9.17","1.76","1.24","2019"
"앱클론","174900","38,900","214.73","15.77","38.77","2019"
"에스에스알","275630","5,570","29.34","1.3","2.37","2019"
"에스제이그룹","306040","16,800","12.65","2.38","1.51","2019"
"에스제이케이","080440","498","-0.61","0.5","1.62","2019"
"에스티팜","237690","61,000","-61.51","3.75","12.2","2019"
"에이씨티","138360","4,480","-1221.61","2.82","6.5","2019"
"에이프런티어","036180","1,205","-4.61","0.89","0.48","2019"
"에프알텍","073540","7,850","-52.64","2.86","3.42","2019"
"에프에스티","036810","25,100","27.75","4.49","4.04","2019"
"엑스큐어","070300","4,810","27.25","1.52","2.66","2019"
"엔브이에이치코리아","067570","5,560","12.88","0.87","0.19","2019"
"엔시트론","101400","1,120","-3.0","1.68","2.78","2019"
"엔에이치스팩14호","319400","2,010","173.26","1.04","NAN","2019"
"영신금속","007530","1,945","4.3","0.6","0.21","2019"
"예림당","036000","2,545","-1.2","0.18","0.07","2019"
"오르비텍","046120","3,185","75.77","1.1","1.01","2019"
"오성첨단소재","052420","2,695","11.44","0.96","2.51","2019"
"오션브릿지","241790","16,200","14.21","2.38","2.14","2019"
"우리손에프앤지","073560","2,125","34.22","0.78","0.65","2019"
"원일특강","012620","8,600","3.82","0.32","0.15","2019"
"위더스제약","330350","26,400","23.52","3.9","3.96","2019"
"윈하이텍","192390","2,925","-4.0","0.59","0.37","2019"
"윌링스","313760","18,000","28.23","2.42","2.04","2019"
"유바이오로직스","206650","23,600","-702.55","18.07","19.1","2019"
"유안타제6호스팩","340360","2,000","NAN","1.04","NAN","2019"
"육일씨엔에쓰","191410","3,805","-4.57","0.97","0.58","2019"
"이글루시큐리티","067920","4,950","27.22","1.12","0.72","2019"
"이글벳","044960","9,200","96.92","3.28","3.38","2019"
"이녹스","088390","8,910","-4.41","0.64","2.01","2019"
"이랜시스","264850","2,035","50.05","2.27","1.05","2019"
"이에스에이","052190","295","-0.53","0.39","5.0","2019"
"이엠앤아이","083470","1,585","1.02","6.14","3.73","2019"
"이엠텍","091120","13,000","-521.98","1.15","0.78","2019"
"이즈미디어","181340","3,430","-13.42","0.67","0.36","2019"
"이지케어텍","099750","22,450","37.73","3.11","2.62","2019"
"인선이엔티","060150","9,660","22.34","1.8","2.02","2019"
"인포마크","175140","6,010","-2.01","1.91","0.29","2019"
"인포바인","115310","18,600","6.6","0.7","3.08","2019"
"인포뱅크","039290","7,360","53.32","1.15","0.54","2019"
"잉크테크","049550","3,140","-17.97","1.4","0.85","2019"
"전진바이오팜","110020","11,700","-37.41","19.35","14.39","2019"
"정다운","208140","2,560","58.4","1.04","0.42","2019"
"제놀루션","225220","31,400","-329.39","38.01","24.7","2019"
"제이스텍","090470","8,460","112.27","0.95","0.97","2019"
"제일바이오","052670","8,720","65.4","4.14","5.69","2019"
"젬백스지오","041590","672","-0.74","0.57","2.33","2019"
"줌인터넷","239340","3,750","-8.51","3.55","4.07","2019"
"지니뮤직","043610","3,945","31.41","1.5","0.99","2019"
"지니언스","263860","5,280","16.09","1.48","2.0","2019"
"지란지교시큐리티","208350","4,930","10.36","0.5","0.62","2019"
"지스마트글로벌","114570","620","-0.09","0.15","0.57","2019"
"참좋은여행","094850","5,510","3.37","0.8","1.24","2019"
"천보","278280","153,000","66.23","7.26","11.31","2019"
"컴투스","078340","124,700","14.64","1.73","3.42","2019"
"케이비제19호스팩","330990","2,000","NAN","1.05","NAN","2019"
"케이씨피드","025880","2,075","-5.34","0.66","0.54","2019"
"케이엔더블유","105330","7,290","-6.55","1.23","0.44","2019"
"코너스톤네트웍스","033110","204","-0.49","0.7","1.88","2019"
"코데즈컴바인","047770","2,500","13.71","2.23","2.64","2019"
"코메론","049430","9,000","5.69","0.58","1.22","2019"
"코미팜","041960","14,450","-39.64","12.14","26.02","2019"
"코아시아","045970","10,050","21.35","1.85","0.6","2019"
"코오롱생명과학","102940","32,250","-3.99","3.64","2.48","2019"
"코웰패션","033290","6,260","10.41","2.21","1.44","2019"
"코위버","056360","11,200","5.33","0.92","0.97","2019"
"콜마비앤에이치","200130","63,000","33.96","7.31","4.24","2019"
"큐브엔터","182360","4,410","117.19","6.66","3.93","2019"
"크로바하이텍","043590","1,490","-4.63","2.17","0.98","2019"
"클리오","237880","17,750","103.86","2.07","1.2","2019"
"키움제5호스팩","311270","2,015","NAN","1.01","NAN","2019"
"테고사이언스","191420","31,200","315.35","5.27","40.04","2019"
"테라사이언스","073640","2,275","-45.01","4.72","7.78","2019"
"테스나","131970","96,500","30.89","4.05","6.83","2019"
"티에스아이","277880","15,650","-10.08","4.98","2.0","2019"
"파루","043200","3,030","545.46","2.39","2.05","2019"
"파멥신","208340","25,950","-35.16","5.3","NAN","2019"
"파수","150900","6,690","-16.48","3.74","1.82","2019"
"파워로직스","047310","7,480","4.68","1.07","0.23","2019"
"파인디지털","038950","6,070","-619.81","0.69","0.64","2019"
"팬엔터테인먼트","068050","9,330","116.57","2.68","3.19","2019"
"펄어비스","263750","201,400","16.63","4.45","4.89","2019"
"펌텍코리아","251970","15,650","8.47","1.04","1.11","2019"
"풍강","093380","2,925","24.08","0.47","0.35","2019"
"플레이디","237820","10,200","13.95","2.28","2.39","2019"
"피에스텍","002230","4,070","32.02","0.56","1.58","2019"
"하나마이크론","067310","9,340","17.83","1.09","0.52","2019"
"한국경제TV","039340","5,310","8.14","1.0","1.57","2019"
"한국바이오젠","318000","9,010","-52.32","2.85","3.96","2019"
"한국비엔씨","256840","4,995","-42.75","8.36","13.04","2019"
"한국아트라스비엑스","023890","51,200","8.82","1.28","0.72","2019"
"한국알콜","017890","15,400","10.37","0.99","1.14","2019"
