Name,Code,Price,PER,PBR,PSR,Year
캐스텍코리아,071850,"2,600",NAN,NAN,NAN,2020
케이비제20호스팩,342550,"1,995",NAN,NAN,NAN,2020
케이피티유,054410,"5,350",NAN,NAN,NAN,2020
켄코아에어로스페이스,274090,"7,230",NAN,NAN,NAN,2020
코렌,078650,815,NAN,NAN,NAN,2020
코윈테크,282880,"21,500",14.62,1.77,2.27,2020
코프라,126600,"3,955",NAN,NAN,0.49,2020
키네마스터,139670,"9,450",34.6,NAN,4.27,2020
토탈소프트,045340,"4,270",NAN,NAN,NAN,2020
투비소프트,079970,"2,285",NAN,NAN,NAN,2020
트루윈,105550,"3,915",NAN,NAN,NAN,2020
특수건설,026150,"5,970",NAN,NAN,NAN,2020
티앤알바이오팹,246710,"14,000",NAN,NAN,NAN,2020
티에스이,131290,"35,550",NAN,NAN,NAN,2020
파세코,037070,"11,200",NAN,NAN,NAN,2020
파커스,065690,"2,760",NAN,NAN,NAN,2020
판타지오,032800,845,NAN,NAN,NAN,2020
패션플랫폼,225590,"1,140",NAN,NAN,NAN,2020
푸드웰,005670,"4,990",NAN,NAN,NAN,2020
프로스테믹스,203690,"4,140",NAN,NAN,NAN,2020
피델릭스,032580,"1,450",NAN,NAN,NAN,2020
피에스엠씨,024850,781,312.53,1.53,0.82,2020
하나금융15호스팩,341160,"2,020",NAN,NAN,NAN,2020
하이즈항공,221840,"3,520",NAN,NAN,NAN,2020
한국맥널티,222980,"6,950",NAN,NAN,NAN,2020
한국코퍼레이션,050540,282,NAN,NAN,NAN,2020
한양디지텍,078350,"5,720",NAN,NAN,NAN,2020
한일진공,123840,"1,055",NAN,NAN,NAN,2020
한일화학,007770,"8,990",NAN,NAN,NAN,2020
해덕파워웨이,102210,"1,100",NAN,NAN,NAN,2020
현대바이오,048410,"10,800",NAN,NAN,NAN,2020
화성밸브,039610,"5,200",NAN,NAN,NAN,2020
휴맥스,115160,"4,305",NAN,NAN,NAN,2020
휴온스글로벌,084110,"31,200",NAN,NAN,NAN,2020
APS홀딩스,054620,"8,600",NAN,NAN,NAN,2020
CJ ENM,035760,"140,200",19.13,0.92,0.87,2020
CMG제약,058820,"4,465",NAN,NAN,NAN,2020
CS,065770,"2,585",NAN,NAN,NAN,2020
CSA 코스믹,083660,"3,040",NAN,NAN,NAN,2020
EG,037370,"8,220",NAN,NAN,NAN,2020
HRS,036640,"3,470",NAN,NAN,NAN,2020
MP그룹,065150,"1,315",NAN,NAN,NAN,2020
NICE평가정보,030190,"19,800",26.77,4.67,2.72,2020
PI첨단소재,178920,"29,200",NAN,NAN,NAN,2020
PN풍년,024940,"3,670",NAN,NAN,NAN,2020
SCI평가정보,036120,"4,260",NAN,NAN,NAN,2020
SM C&C,048550,"1,735",NAN,NAN,NAN,2020
UCI,038340,"2,570",NAN,NAN,NAN,2020
감마누,192410,"3,180",NAN,NAN,NAN,2020
강스템바이오텍,217730,"7,070",NAN,NAN,NAN,2020
게임빌,063080,"34,450",8.91,0.81,1.44,2020
경남바이오파마,044480,"3,540",NAN,NAN,NAN,2020
경남제약헬스케어,223310,"3,320",NAN,NAN,NAN,2020
고영,098460,"90,300",48.96,4.81,6.3,2020
광림,014200,"1,570",NAN,NAN,NAN,2020
국영지앤엠,006050,"2,800",NAN,NAN,NAN,2020
나노엔텍,039860,"12,550",NAN,NAN,11.1,2020
나이벡,138610,"29,800",NAN,NAN,NAN,2020
나인테크,267320,"4,185",NAN,NAN,NAN,2020
남화토건,091590,"13,250",NAN,NAN,NAN,2020
네오팜,092730,"27,650",11.82,1.91,2.67,2020
넥스턴,089140,"7,890",NAN,NAN,NAN,2020
넵튠,217270,"11,400",NAN,NAN,NAN,2020
노바렉스,194700,"40,650",16.64,3.26,1.65,2020
녹원씨엔아이,065560,"5,430",NAN,NAN,NAN,2020
누리텔레콤,040160,"7,350",NAN,NAN,NAN,2020
뉴파워프라즈마,144960,"6,180",20.23,NAN,3.14,2020
대성파인텍,104040,"1,780",NAN,NAN,NAN,2020
대아티아이,045390,"6,430",NAN,NAN,NAN,2020
대주전자재료,078600,"46,050",NAN,NAN,NAN,2020
대창솔루션,096350,363,NAN,NAN,NAN,2020
덕산네오룩스,213420,"31,700",NAN,NAN,NAN,2020
데브시스터즈,194480,"8,450",NAN,NAN,NAN,2020
동아엘텍,088130,"8,870",NAN,NAN,NAN,2020
드래곤플라이,030350,"2,610",NAN,NAN,NAN,2020
디알텍,214680,"1,430",NAN,NAN,NAN,2020
디엠티,134580,"2,005",NAN,NAN,NAN,2020
딜리,131180,"1,585",NAN,NAN,NAN,2020
레드로버,060300,610,NAN,NAN,NAN,2020
레드캡투어,038390,"14,350",NAN,NAN,NAN,2020
레이언스,228850,"11,500",14.68,0.93,1.67,2020
로보로보,215100,"4,975",NAN,NAN,NAN,2020
매일홀딩스,005990,"7,890",NAN,NAN,NAN,2020
머큐리,100590,"10,350",NAN,NAN,NAN,2020
메디앙스,014100,"4,195",NAN,NAN,NAN,2020
